,tweet
60,"Despues de un dia como hoy, pizza, netflix, un baño caliente y un abrazo me harían inmensamente feliz https://t.co/CisCX9DjWK"
61,No se ni que ver en Netflix 😟
62,Antes de tus series yo tenía una vida normal Netflix.
63,"Mil ganas de un chocolate, galletas, un masaje, unos Tostitos, Netflix, nieve con galleta y asiiiiiiii"
64,¿Qué tal está la serie del Chapo en @Netflix ?
65,Netflix debería subir todas las películas de Disney.
66,Que tanto tiempo pasas decidiendo que ver en Netflix? Me preocupa la cantidad de tiempo que pierdo en esa duda jajaja
67,@delia8a Búscala en Netflix. Vela y luego me dices qué tal.
68,"#Netflix presenta interacción en películas infantiles. 

https://t.co/f3gr30ltbs"
69,@DavidSilva0830 Voy a hacer un maratón en netflix de peliculaa tristes y comere nieve para llorar agusto veda (8
